Nombre de la Carta (EN),Efecto Localizado (ES)
"""Delicious"" Smoothie","Puedes descartar una carta de Puntos con un efecto de tu mano, luego suma su valor en puntos a tu puntuación de esta ronda."
Dino Grabber,Puedes mirar la mano de otro jugador. Elige una carta y añádela a tu mano.
Disaster Insurance,"Juega esta carta si fueras a añadir una carta de Desastre a tu Área de desastres esta ronda. En su lugar, mueve esa carta de Desastre a la parte inferior del mazo de desastres."
Disaster Redirect,"Juega esta carta si fueras a añadir una carta de Desastre a tu Área de desastres esta ronda. En su lugar, añade esa carta de Desastre al Área de desastres de otro jugador."
Fire Spray,Puedes descartar hasta 3 cartas de tu mano.
Flaming Chainsaw,"Durante esta ronda, se ignoran todos los efectos de las demás cartas de Puntos."
Grappling Snake,Puedes intercambiar esta carta por la carta de Puntos del jugador a tu derecha o izquierda. No puedes intercambiarla por una carta que tenga efecto.
Hungry Plant,Puedes intercambiar las cartas de Puntos de cualquier otro par de jugadores.
Mouth Trap,"Durante la fase de puntuación de esta ronda, intercambia la puntuación del jugador con la puntuación más alta con la del jugador con la puntuación más baja después de que se hayan calculado los totales."
Pet Rock,"Puedes descartar una carta de Puntos de tu mano, luego suma su valor en puntos a tu puntuación de esta ronda."
Score Booster,Juega esta carta durante la fase de puntuación. Añade 2 puntos a la puntuación de cualquier jugador en esta ronda.
Score Inversion,Juega esta carta durante la fase de puntuación. Intercambia la puntuación del jugador con la puntuación más alta con la del jugador con la puntuación más baja después de que se hayan calculado los totales.
Score Sapper,Juega esta carta durante la fase de puntuación. Resta 2 puntos de la puntuación de cualquier jugador en esta ronda.
Special Star Fruit,"Durante la fase de puntuación de esta ronda, duplica los efectos de las cartas Score Booster y Score Sapper."
Treenoculars,Puedes mirar las 2 cartas superiores del mazo. Elige una carta y añádela a tu mano. Descarta la otra carta.
Behemoth Blade,"Durante la fase de puntuación de esta ronda, ningún jugador puede jugar cartas Instantáneas."
Good Luck Rod,"Puedes mirar las 3 cartas superiores del mazo. Si al menos una de ellas es una carta de Puntos, elige una y añade su valor en puntos a tu puntuación de esta ronda, luego descarta las 3 cartas."
Isapod Swap,Puedes intercambiar esta carta con la carta de Puntos de otro jugador. No puedes intercambiarla por una carta que tenga efecto.
Swiss Shears,"Durante la fase de puntuación de esta ronda, los efectos de las cartas Score Booster y Score Sapper jugadas por cualquier otro jugador se reducen a la mitad."
Voodoo Dino,"Puedes descartar cualquier número de cartas de Puntos de tu mano. Por cada carta descartada, puedes restar 1 punto a la puntuación de cualquier jugador en esta ronda."
Helping Hand,"Juega esta carta durante la fase de puntuación. Descarta cualquier número de cartas de Puntos con un valor de 1, 2 o 3 de tu mano, luego añade el valor en puntos de las cartas descartadas a tu puntuación de esta ronda."
A Bone to Flick,Descarta hasta 3 cartas y añade una ficha de Peligro a la Ruta de escape de otro jugador.
Coconut Bolas,"Si tienes la puntuación más alta al final de la fase de puntuación de esta ronda, puedes añadir una ficha de Peligro a la Ruta de escape de otro jugador."
Epic Flail,No puedes jugar cartas Instantáneas esta ronda.
Hazard Redirect,"Juega esta carta si fueras a añadir una ficha de Peligro a tu Ruta de escape esta ronda. En su lugar, añade esa ficha de Peligro a la Ruta de escape de otro jugador."
Molotov Crocktail,Puedes eliminar una carta de Peligro de tu Área de peligros.
Rock Candy,"Durante la fase de puntuación de esta ronda, añade 2 puntos a tu puntuación por cada carta de Peligro en tu Área de peligros."
Spiky Shroom,"Si tienes la puntuación más baja al final de la fase de puntuación de esta ronda, puedes añadir una ficha de Peligro a la Ruta de escape de otro jugador."
Suck Up,"Si tienes la puntuación más baja al final de la fase de puntuación de esta ronda, puedes eliminar una ficha de Peligro de tu Ruta de escape."
