Nombre de la Carta (EN),Efecto Localizado (ES)
Brittle Bones,Solo puedes recolectar hasta 7 puntos al final de la ronda.
Icy Roads,No puedes jugar cartas Disaster Insurance durante la fase de puntuación.
Juice Cleanse,Ignora las ventajas de tu Rasgo de dinosaurio durante la fase de puntuación.
Leechy Keen,No puedes jugar más de 1 carta Instantánea por ronda.
Live. Laugh. Lava.,Los efectos de las cartas Score Sapper y Score Booster que juegues se reducen a la mitad.
Ollie Oops,Resta 2 del valor de las cartas de Puntos que juegues durante la Muerte súbita.
Restraining Order,No puedes jugar cartas Score Sapper durante la fase de puntuación.
Rex Marks The Spot,Resta 1 punto de tu puntuación por cada carta Instantánea que juegues durante la fase de puntuación.
Rock Slide,Duplica las desventajas de tu Rasgo de dinosaurio durante la fase de puntuación.
Slippery Slope,"Cada ronda, después de que se hayan calculado las puntuaciones, mueve tu peón de dinosaurio 1 espacio hacia atrás en tu Ruta de escape."
Tarnished Plans,No puedes jugar cartas Score Booster durante la fase de puntuación.
Up In Flames,Resta 1 punto de tu puntuación por cada carta de Peligro en tu Área de peligros durante la fase de puntuación.
